"CODDPTO","CODPROV","CODDIST","NOMBRE"
"02","17","04","HUAYLLAPAMPA"
"02","17","05","LLACLLIN"
"02","17","06","MARCA"
"02","17","07","PAMPAS CHICO"
"02","17","08","PARARIN"
"02","17","09","TAPACOCHA"
"02","17","10","TICAPAMPA"
"02","18","00","SANTA"
"02","18","01","CHIMBOTE"
"02","18","02","CACERES DEL PERU"
"02","18","03","COISHCO"
"02","18","04","MACATE"
"02","18","05","MORO"
"02","18","06","NEPEÑA"
"02","18","07","SAMANCO"
"02","18","08","SANTA"
"02","18","09","NUEVO CHIMBOTE"
"02","19","00","SIHUAS"
"02","19","01","SIHUAS"
"02","19","02","ACOBAMBA"
"02","19","03","ALFONSO UGARTE"
"02","19","04","CASHAPAMPA"
"02","19","05","CHINGALPO"
"02","19","06","HUAYLLABAMBA"
"02","19","07","QUICHES"
"02","19","08","RAGASH"
"02","19","09","SAN JUAN"
"02","19","10","SICSIBAMBA"
"02","20","00","YUNGAY"
"02","20","01","YUNGAY"
"02","20","02","CASCAPARA"
"02","20","03","MANCOS"
"02","20","04","MATACOTO"
"02","20","05","QUILLO"
"02","20","06","RANRAHIRCA"
"02","20","07","SHUPLUY"
"02","20","08","YANAMA"
"03","00","00","APURIMAC"
"03","01","00","ABANCAY"
"03","01","01","ABANCAY"
"03","01","02","CHACOCHE"
"03","01","03","CIRCA"
"03","01","04","CURAHUASI"
"03","01","05","HUANIPACA"
"03","01","06","LAMBRAMA"
"03","01","07","PICHIRHUA"
"03","01","08","SAN PEDRO DE CACHORA"
"03","01","09","TAMBURCO"
"03","02","00","ANDAHUAYLAS"
"03","02","01","ANDAHUAYLAS"
"03","02","02","ANDARAPA"
"03","02","03","CHIARA"
"03","02","04","HUANCARAMA"
"03","02","05","HUANCARAY"
"03","02","06","HUAYANA"
"03","02","07","KISHUARA"
"03","02","08","PACOBAMBA"
"03","02","09","PACUCHA"
"03","02","10","PAMPACHIRI"
"03","02","11","POMACOCHA"
"03","02","12","SAN ANTONIO DE CACHI"
"03","02","13","SAN JERONIMO"
"03","02","14","SAN MIGUEL DE CHACCRAMPA"
"03","02","15","SANTA MARIA DE CHICMO"
"03","02","16","TALAVERA"
"03","02","17","TUMAY HUARACA"
"03","02","18","TURPO"
"03","02","19","KAQUIABAMBA"
"03","03","00","ANTABAMBA"
"03","03","01","ANTABAMBA"
"03","03","02","EL ORO"
"03","03","03","HUAQUIRCA"
"03","03","04","JUAN ESPINOZA MEDRANO"
"03","03","05","OROPESA"
"03","03","06","PACHACONAS"
"03","03","07","SABAINO"
"03","04","00","AYMARAES"
"03","04","01","CHALHUANCA"
"03","04","02","CAPAYA"
"03","04","03","CARAYBAMBA"
"03","04","04","CHAPIMARCA"
"03","04","05","COLCABAMBA"
"03","04","06","COTARUSE"
"03","04","07","HUAYLLO"
"03","04","08","JUSTO APU SAHUARAURA"
"03","04","09","LUCRE"
"03","04","10","POCOHUANCA"
"03","04","11","SAN JUAN DE CHACÑA"
"03","04","12","SAÑAYCA"
"03","04","13","SORAYA"
"03","04","14","TAPAIRIHUA"
"03","04","15","TINTAY"
"03","04","16","TORAYA"
"03","04","17","YANACA"
"03","05","00","COTABAMBAS"
"03","05","01","TAMBOBAMBA"
"03","05","02","COTABAMBAS"
"03","05","03","COYLLURQUI"
"03","05","04","HAQUIRA"
"03","05","05","MARA"
"03","05","06","CHALLHUAHUACHO"
"03","06","00","CHINCHEROS"
"03","06","01","CHINCHEROS"
"03","06","02","ANCO_HUALLO"
"03","06","03","COCHARCAS"
"03","06","04","HUACCANA"
"03","06","05","OCOBAMBA"
"03","06","06","ONGOY"
"03","06","07","URANMARCA"
"03","06","08","RANRACANCHA"
"03","07","00","GRAU"
"03","07","01","CHUQUIBAMBILLA"
"03","07","02","CURPAHUASI"
"03","07","03","GAMARRA"
"03","07","04","HUAYLLATI"
"03","07","05","MAMARA"
"03","07","06","MICAELA BASTIDAS"
"03","07","07","PATAYPAMPA"
"03","07","08","PROGRESO"
"03","07","09","SAN ANTONIO"
"03","07","10","SANTA ROSA"
"03","07","11","TURPAY"
"03","07","12","VILCABAMBA"
"03","07","13","VIRUNDO"
"03","07","14","CURASCO"
"04","00","00","AREQUIPA"
"04","01","00","AREQUIPA"
"04","01","01","AREQUIPA"
"04","01","02","ALTO SELVA ALEGRE"
"04","01","03","CAYMA"
"04","01","04","CERRO COLORADO"
"04","01","05","CHARACATO"
"04","01","06","CHIGUATA"
"04","01","07","JACOBO HUNTER"
"04","01","08","LA JOYA"
"04","01","09","MARIANO MELGAR"
"04","01","10","MIRAFLORES"
"04","01","11","MOLLEBAYA"
"04","01","12","PAUCARPATA"
"04","01","13","POCSI"
"04","01","14","POLOBAYA"
"04","01","15","QUEQUEÑA"
"04","01","16","SABANDIA"
"04","01","17","SACHACA"
"04","01","18","SAN JUAN DE SIGUAS"
"04","01","19","SAN JUAN DE TARUCANI"
"04","01","20","SANTA ISABEL DE SIGUAS"
"04","01","21","SANTA RITA DE SIGUAS"
"04","01","22","SOCABAYA"
"04","01","23","TIABAYA"
"04","01","24","UCHUMAYO"
"04","01","25","VITOR"
"04","01","26","YANAHUARA"
"04","01","27","YARABAMBA"
"04","01","28","YURA"
"04","01","29","JOSE LUIS BUSTAMANTE Y RIVERO"
"04","02","00","CAMANA"
"04","02","01","CAMANA"
"04","02","02","JOSE MARIA QUIMPER"
"04","02","03","MARIANO NICOLAS VALCARCEL"
"04","02","04","MARISCAL CACERES"
"04","02","05","NICOLAS DE PIEROLA"
"04","02","06","OCOÑA"
"04","02","07","QUILCA"
"04","02","08","SAMUEL PASTOR"
"04","03","00","CARAVELI"
"04","03","01","CARAVELI"
"04","03","02","ACARI"
"04","03","03","ATICO"
"04","03","04","ATIQUIPA"
"04","03","05","BELLA UNION"
"04","03","06","CAHUACHO"
"04","03","07","CHALA"
"04","03","08","CHAPARRA"
"04","03","09","HUANUHUANU"
"04","03","10","JAQUI"
"04","03","11","LOMAS"
"04","03","12","QUICACHA"
"04","03","13","YAUCA"
"04","04","00","CASTILLA"
"04","04","01","APLAO"
"04","04","02","ANDAGUA"
"04","04","03","AYO"
"04","04","04","CHACHAS"
"04","04","05","CHILCAYMARCA"
"04","04","06","CHOCO"
"04","04","07","HUANCARQUI"
"04","04","08","MACHAGUAY"
"04","04","09","ORCOPAMPA"
"04","04","10","PAMPACOLCA"
"04","04","11","TIPAN"
"04","04","12","UÑON"
"04","04","13","URACA"
"04","04","14","VIRACO"
"04","05","00","CAYLLOMA"
"04","05","01","CHIVAY"
"04","05","02","ACHOMA"
"04","05","03","CABANACONDE"
"04","05","04","CALLALLI"
"04","05","05","CAYLLOMA"
"04","05","06","COPORAQUE"
"04","05","07","HUAMBO"
"04","05","08","HUANCA"
"04","05","09","ICHUPAMPA"
"04","05","10","LARI"
"04","05","11","LLUTA"
"04","05","12","MACA"
"04","05","13","MADRIGAL"
"04","05","14","SAN ANTONIO DE CHUCA"
"04","05","15","SIBAYO"
"04","05","16","TAPAY"
"04","05","17","TISCO"
"04","05","18","TUTI"
"04","05","19","YANQUE"
"04","05","20","MAJES"
"04","06","00","CONDESUYOS"
"04","06","01","CHUQUIBAMBA"
"04","06","02","ANDARAY"
"04","06","03","CAYARANI"
"04","06","04","CHICHAS"
"04","06","05","IRAY"
"04","06","06","RIO GRANDE"
"04","06","07","SALAMANCA"
"04","06","08","YANAQUIHUA"
"04","07","00","ISLAY"
"04","07","01","MOLLENDO"
"04","07","02","COCACHACRA"
"04","07","03","DEAN VALDIVIA"
"04","07","04","ISLAY"
"04","07","05","MEJIA"
"04","07","06","PUNTA DE BOMBON"
"04","08","00","LA UNION"
"04","08","01","COTAHUASI"
"04","08","02","ALCA"
"04","08","03","CHARCANA"
"04","08","04","HUAYNACOTAS"
"04","08","05","PAMPAMARCA"
"04","08","06","PUYCA"
"04","08","07","QUECHUALLA"
"04","08","08","SAYLA"
"04","08","09","TAURIA"
"04","08","10","TOMEPAMPA"
"04","08","11","TORO"
"05","00","00","AYACUCHO"
"05","01","00","HUAMANGA"
"05","01","01","AYACUCHO"
"05","01","02","ACOCRO"
"05","01","03","ACOS VINCHOS"
"05","01","04","CARMEN ALTO"
"05","01","05","CHIARA"
"05","01","06","OCROS"
"05","01","07","PACAYCASA"
"05","01","08","QUINUA"
"05","01","09","SAN JOSE DE TICLLAS"
"05","01","10","SAN JUAN BAUTISTA"
"05","01","11","SANTIAGO DE PISCHA"
"05","01","12","SOCOS"
"05","01","13","TAMBILLO"
"05","01","14","VINCHOS"
"05","01","15","JESUS NAZARENO"
"05","02","00","CANGALLO"
"05","02","01","CANGALLO"
"05","02","02","CHUSCHI"
"05","02","03","LOS MOROCHUCOS"
"05","02","04","MARIA PARADO DE BELLIDO"
"05","02","05","PARAS"
"05","02","06","TOTOS"
"05","03","00","HUANCA SANCOS"
"05","03","01","SANCOS"
"05","03","02","CARAPO"
"05","03","03","SACSAMARCA"
"05","03","04","SANTIAGO DE LUCANAMARCA"
"05","04","00","HUANTA"
"05","04","01","HUANTA"
"05","04","02","AYAHUANCO"
"05","04","03","HUAMANGUILLA"
"05","04","04","IGUAIN"
"05","04","05","LURICOCHA"
"05","04","06","SANTILLANA"
"05","04","07","SIVIA"
"05","04","08","LLOCHEGUA"
"05","05","00","LA MAR"
"05","05","01","SAN MIGUEL"
"05","05","02","ANCO"
"05","05","03","AYNA"
"05","05","04","CHILCAS"
"05","05","05","CHUNGUI"
"05","05","06","LUIS CARRANZA"
"05","05","07","SANTA ROSA"
"05","05","08","TAMBO"
"05","05","09","SAMUGARI"
"05","06","00","LUCANAS"
"05","06","01","PUQUIO"
"05","06","02","AUCARA"
"05","06","03","CABANA"
"05","06","04","CARMEN SALCEDO"
"05","06","05","CHAVIÑA"
"05","06","06","CHIPAO"
"05","06","07","HUAC-HUAS"
"05","06","08","LARAMATE"
"05","06","09","LEONCIO PRADO"
"05","06","10","LLAUTA"
"05","06","11","LUCANAS"
"05","06","12","OCAÑA"
"05","06","13","OTOCA"
"05","06","14","SAISA"
"05","06","15","SAN CRISTOBAL"
"05","06","16","SAN JUAN"
"05","06","17","SAN PEDRO"
"05","06","18","SAN PEDRO DE PALCO"
"05","06","19","SANCOS"
"05","06","20","SANTA ANA DE HUAYCAHUACHO"
"05","06","21","SANTA LUCIA"
"05","07","00","PARINACOCHAS"
"05","07","01","CORACORA"
"05","07","02","CHUMPI"
"05","07","03","CORONEL CASTAÑEDA"
"05","07","04","PACAPAUSA"
"05","07","05","PULLO"
"05","07","06","PUYUSCA"
"05","07","07","SAN FRANCISCO DE RAVACAYCO"
"05","07","08","UPAHUACHO"
"05","08","00","PAUCAR DEL SARA SARA"
"05","08","01","PAUSA"
"05","08","02","COLTA"
"05","08","03","CORCULLA"
"05","08","04","LAMPA"
"05","08","05","MARCABAMBA"
"05","08","06","OYOLO"
"05","08","07","PARARCA"
"05","08","08","SAN JAVIER DE ALPABAMBA"
"05","08","09","SAN JOSE DE USHUA"
"05","08","10","SARA SARA"
"05","09","00","SUCRE"
"05","09","01","QUEROBAMBA"
"05","09","02","BELEN"
"05","09","03","CHALCOS"
"05","09","04","CHILCAYOC"
"05","09","05","HUACAÑA"
"05","09","06","MORCOLLA"
"05","09","07","PAICO"
"05","09","08","SAN PEDRO DE LARCAY"
"05","09","09","SAN SALVADOR DE QUIJE"
"05","09","10","SANTIAGO DE PAUCARAY"
"05","09","11","SORAS"
"05","10","00","VICTOR FAJARDO"
"05","10","01","HUANCAPI"
"05","10","02","ALCAMENCA"
"05","10","03","APONGO"
"05","10","04","ASQUIPATA"
"05","10","05","CANARIA"
"05","10","06","CAYARA"
"05","10","07","COLCA"
"05","10","08","HUAMANQUIQUIA"
"05","10","09","HUANCARAYLLA"
"05","10","10","HUAYA"
"05","10","11","SARHUA"
"05","10","12","VILCANCHOS"
"05","11","00","VILCAS HUAMAN"
"05","11","01","VILCAS HUAMAN"
"05","11","02","ACCOMARCA"
"05","11","03","CARHUANCA"
"05","11","04","CONCEPCION"
"05","11","05","HUAMBALPA"
"05","11","06","INDEPENDENCIA"
"05","11","07","SAURAMA"
"05","11","08","VISCHONGO"
"06","00","00","CAJAMARCA"
"06","01","00","CAJAMARCA"
"06","01","01","CAJAMARCA"
"06","01","02","ASUNCION"
"06","01","03","CHETILLA"
"06","01","04","COSPAN"
"06","01","05","ENCAÑADA"
"06","01","06","JESUS"
"06","01","07","LLACANORA"
"06","01","08","LOS BAÑOS DEL INCA"
"06","01","09","MAGDALENA"
"06","01","10","MATARA"
"06","01","11","NAMORA"
"06","01","12","SAN JUAN"
"06","02","00","CAJABAMBA"
"06","02","01","CAJABAMBA"
"06","02","02","CACHACHI"
"06","02","03","CONDEBAMBA"
"06","02","04","SITACOCHA"
"06","03","00","CELENDIN"
"06","03","01","CELENDIN"
"06","03","02","CHUMUCH"
"06","03","03","CORTEGANA"
"06","03","04","HUASMIN"
"06","03","05","JORGE CHAVEZ"
"06","03","06","JOSE GALVEZ"
"06","03","07","MIGUEL IGLESIAS"
"06","03","08","OXAMARCA"
"06","03","09","SOROCHUCO"
"06","03","10","SUCRE"
"06","03","11","UTCO"
"06","03","12","LA LIBERTAD DE PALLAN"
"06","04","00","CHOTA"
"06","04","01","CHOTA"
"06","04","02","ANGUIA"
"06","04","03","CHADIN"
"06","04","04","CHIGUIRIP"
"06","04","05","CHIMBAN"
"06","04","06","CHOROPAMPA"
"06","04","07","COCHABAMBA"
"06","04","08","CONCHAN"
"06","04","09","HUAMBOS"
"06","04","10","LAJAS"
"06","04","11","LLAMA"
"06","04","12","MIRACOSTA"
"06","04","13","PACCHA"
"06","04","14","PION"
"06","04","15","QUEROCOTO"
"06","04","16","SAN JUAN DE LICUPIS"
"06","04","17","TACABAMBA"
"06","04","18","TOCMOCHE"
"06","04","19","CHALAMARCA"
"06","05","00","CONTUMAZA"
"06","05","01","CONTUMAZA"
"06","05","02","CHILETE"
"06","05","03","CUPISNIQUE"
"06","05","04","GUZMANGO"
"06","05","05","SAN BENITO"
"06","05","06","SANTA CRUZ DE TOLED"
"06","05","07","TANTARICA"
"06","05","08","YONAN"
"06","06","00","CUTERVO"
"06","06","01","CUTERVO"
"06","06","02","CALLAYUC"
"06","06","03","CHOROS"
"06","06","04","CUJILLO"
"06","06","05","LA RAMADA"
"06","06","06","PIMPINGOS"
"06","06","07","QUEROCOTILLO"
"06","06","08","SAN ANDRES DE CUTERVO"
"06","06","09","SAN JUAN DE CUTERVO"
"06","06","10","SAN LUIS DE LUCMA"
"06","06","11","SANTA CRUZ"
"06","06","12","SANTO DOMINGO DE LA CAPILLA"
"06","06","13","SANTO TOMAS"
"06","06","14","SOCOTA"
"06","06","15","TORIBIO CASANOVA"
"06","07","00","HUALGAYOC"
"06","07","01","BAMBAMARCA"
"06","07","02","CHUGUR"
"06","07","03","HUALGAYOC"
"06","08","00","JAEN"
"06","08","01","JAEN"
"06","08","02","BELLAVISTA"
"06","08","03","CHONTALI"
"06","08","04","COLASAY"
"06","08","05","HUABAL"
"06","08","06","LAS PIRIAS"
"06","08","07","POMAHUACA"
"06","08","08","PUCARA"
"06","08","09","SALLIQUE"
"06","08","10","SAN FELIPE"
"06","08","11","SAN JOSE DEL ALTO"
"06","08","12","SANTA ROSA"
"06","09","00","SAN IGNACIO"
"06","09","01","SAN IGNACIO"
"06","09","02","CHIRINOS"
"06","09","03","HUARANGO"
"06","09","04","LA COIPA"
"06","09","05","NAMBALLE"
"06","09","06","SAN JOSE DE LOURDES"
"06","09","07","TABACONAS"
"06","10","00","SAN MARCOS"
"06","10","01","PEDRO GALVEZ"
"06","10","02","CHANCAY"
"06","10","03","EDUARDO VILLANUEVA"
"06","10","04","GREGORIO PITA"
"06","10","05","ICHOCAN"
"06","10","06","JOSE MANUEL QUIROZ"
"06","10","07","JOSE SABOGAL"
"06","11","00","SAN MIGUEL"
"06","11","01","SAN MIGUEL"
"06","11","02","BOLIVAR"
"06","11","03","CALQUIS"
"06","11","04","CATILLUC"
"06","11","05","EL PRADO"
"06","11","06","LA FLORIDA"
"06","11","07","LLAPA"
"06","11","08","NANCHOC"
"06","11","09","NIEPOS"
"06","11","10","SAN GREGORIO"
"06","11","11","SAN SILVESTRE DE COCHAN"
"06","11","12","TONGOD"
"06","11","13","UNION AGUA BLANCA"
"06","12","00","SAN PABLO"
"06","12","01","SAN PABLO"
"06","12","02","SAN BERNARDINO"
"06","12","03","SAN LUIS"
"06","12","04","TUMBADEN"
"06","13","00","SANTA CRUZ"
"06","13","01","SANTA CRUZ"
"06","13","02","ANDABAMBA"
"06","13","03","CATACHE"
"06","13","04","CHANCAYBAÑOS"
"06","13","05","LA ESPERANZA"
"06","13","06","NINABAMBA"
"06","13","07","PULAN"
"06","13","08","SAUCEPAMPA"
"06","13","09","SEXI"
"06","13","10","UTICYACU"
"06","13","11","YAUYUCAN"
"07","00","00","CALLAO"
"07","01","00","CALLAO"
"07","01","01","CALLAO"
"07","01","02","BELLAVISTA"
"07","01","03","CARMEN DE LA LEGUA REYNOSO"
"07","01","04","LA PERLA"
"07","01","05","LA PUNTA"
"07","01","06","VENTANILLA"
"08","00","00","CUSCO"
"08","01","00","CUSCO"
"08","01","01","CUSCO"
"08","01","02","CCORCA"
"08","01","03","POROY"
"08","01","04","SAN JERONIMO"
"08","01","05","SAN SEBASTIAN"
"08","01","06","SANTIAGO"
"08","01","07","SAYLLA"
"08","01","08","WANCHAQ"
"08","02","00","ACOMAYO"
"08","02","01","ACOMAYO"
"08","02","02","ACOPIA"
"08","02","03","ACOS"
"08","02","04","MOSOC LLACTA"
"08","02","05","POMACANCHI"
"08","02","06","RONDOCAN"
"08","02","07","SANGARARA"
"08","03","00","ANTA"
"08","03","01","ANTA"
"08","03","02","ANCAHUASI"
"08","03","03","CACHIMAYO"
"08","03","04","CHINCHAYPUJIO"
"08","03","05","HUAROCONDO"
"08","03","06","LIMATAMBO"
"08","03","07","MOLLEPATA"
"08","03","08","PUCYURA"
"08","03","09","ZURITE"
"08","04","00","CALCA"
"08","04","01","CALCA"
"08","04","02","COYA"
"08","04","03","LAMAY"
"08","04","04","LARES"
"08","04","05","PISAC"
"08","04","06","SAN SALVADOR"
"08","04","07","TARAY"
"08","04","08","YANATILE"
"08","05","00","CANAS"
"08","05","01","YANAOCA"
"08","05","02","CHECCA"
"08","05","03","KUNTURKANKI"
"08","05","04","LANGUI"
"08","05","05","LAYO"
"08","05","06","PAMPAMARCA"
"08","05","07","QUEHUE"
"08","05","08","TUPAC AMARU"
"08","06","00","CANCHIS"
"08","06","01","SICUANI"
"08","06","02","CHECACUPE"
"08","06","03","COMBAPATA"
"08","06","04","MARANGANI"
"08","06","05","PITUMARCA"
"08","06","06","SAN PABLO"
"08","06","07","SAN PEDRO"
"08","06","08","TINTA"
"08","07","00","CHUMBIVILCAS"
"08","07","01","SANTO TOMAS"
"08","07","02","CAPACMARCA"
"08","07","03","CHAMACA"
"08","07","04","COLQUEMARCA"
"08","07","05","LIVITACA"
"08","07","06","LLUSCO"
"08","07","07","QUIÑOTA"
"08","07","08","VELILLE"
"08","08","00","ESPINAR"
"08","08","01","ESPINAR"
"08","08","02","CONDOROMA"
"08","08","03","COPORAQUE"
"08","08","04","OCORURO"
"08","08","05","PALLPATA"
"08","08","06","PICHIGUA"
"08","08","07","SUYCKUTAMBO"
"08","08","08","ALTO PICHIGUA"
"08","09","00","LA CONVENCION"
"08","09","01","SANTA ANA"
"08","09","02","ECHARATE"
"08","09","03","HUAYOPATA"
"08","09","04","MARANURA"
"08","09","05","OCOBAMBA"
"08","09","06","QUELLOUNO"
"08","09","07","KIMBIRI"
"08","09","08","SANTA TERESA"
"08","09","09","VILCABAMBA"
"08","09","10","PICHARI"
"08","10","00","PARURO"
"08","10","01","PARURO"
"08","10","02","ACCHA"
"08","10","03","CCAPI"
"08","10","04","COLCHA"
"08","10","05","HUANOQUITE"
